Company_Name,Month,Revenue,COGS,Operating_Expenses,Depreciation_Amortization,Accounts_Receivable,Accounts_Payable,Change_in_Inventory,Taxes_Paid,CapEx,Asset_Sale_Proceeds,Investments_Bought,Investments_Sold,Debt_Raised,Debt_Repaid,Interest_Received,Interest_Paid,Equity_Issued,Dividends_Paid,Net_Cash_Flow
Tata Motors,01-01-2021,3822660773,1739427002,680315497.5,6206618.77,419288607.3,361559776.2,-49554.89,350729568.4,131637369,29210711,31632483,4981505,148171095,85652971,367643.99,4521373,3344769,30349564,1071282164
Tata Motors,01-02-2021,3563143024,1674076483,388598670.9,5440072.25,398496930.7,,-209055.04,375116967.5,164113541,2428388,59248434,61306900,55831368,10959014,85571.23,20193880,3385357,44738553,1021555584
Tata Motors,01-03-2021,2579679831,1676684765,302690513.2,3599696.2,229865107.8,175995067.6,51461.38,150076138.2,48823873,14091261,19082629,20687413,66401385,22335235,32151.71,22191925,271836,3584702,483501971.7
Tata Motors,01-04-2021,3122452569,1432565185,326367263.3,5713659.1,257705481.1,277485268.6,202799.75,340880030,122917918,2704238,2630708,37049111,,57055419,96830.04,15606139,11002348,1285160,873900443.1
Tata Motors,01-05-2021,3473293639,1395071436,630563063.1,2552210.03,419176993.6,426870277.9,-24575.17,361914785,126088360,19009001,63203558,37407771,161226952,51327755,342463.15,11910049,7130144,4545583,1114096161
Tata Motors,01-06-2021,3426182304,1855841248,383593399.3,1410402.32,415679782,431967942.2,61174.58,296686914.2,124315197,26063245,39443226,7887739,61071026,769598,331523.85,22070111,28433648,7971379,821324329.7
Tata Motors,01-07-2021,4539324442,2127306508,488876122.9,5840775.9,358493807.4,300149795.1,6553.17,480785452.8,81487124,14643995,44066131,75415325,35563453,50873983,203307.78,45377017,23477595,53892568,1442425876
Tata Motors,01-08-2021,3767812747,1514983397,569221294.5,1472000.83,345663287.2,272076701.3,-9127.66,420902014,121053464,23234510,51715898,45968757,134278815,80705119,28059.14,18273392,10274621,13022704,1293418762
Tata Motors,01-09-2021,2522595198,1036953330,406027925.9,2200712.62,252935328.9,139115764.9,37315.3,269903485.4,30900670,8658144,40163712,22277522,105035389,44165849,181942.03,5478047,1119043,11718070,874617129.3
Tata Motors,01-10-2021,5171671728,2687445419,939398936.5,1715722.95,671461477.6,336529752.5,-125998.27,386206843.1,86930215,35703247,40910172,62744322,121946771,57805563,202631.7,24435642,6404003,,1251174482
Tata Motors,01-11-2021,4865791653,2702097721,894191449.3,2028373.67,572066315.8,601030428.2,49166.28,317375620.6,141307309,12105878,43799966,10047453,35581225,34109026,235174.71,42090758,16037627,80337039,824754142.8
Tata Motors,01-12-2021,2623262824,1488670268,493864993.1,2220153.76,180665975.4,204318426.4,-158138.43,160181890.7,81456582,12503247,27853954,51910807,126736437,54847136,108530.28,6041495,25834058,23101383,562385627.2
Tata Motors,01-01-2022,5309145612,2575871584,693036681.1,3280842.64,523276693.5,503532187.7,32694.69,510059336.7,211014440,17395683,105996448,77633091,213670688,55403796,238518.89,29840175,52039571,97576439,1521866584
Tata Motors,01-02-2022,2406564923,1422038697,300931755.1,2943009.8,262284495.3,355905167.8,-52723.79,170898617.8,101341347,6105525,26365210,27180308,11326237,61864219,1380.56,20880238,1418175,,429601366.5
Tata Motors,01-03-2022,4336672077,3028580660,637466732.9,3404349.18,338069756.7,599975989.5,-202494.8,167656171.1,109752360,27674903,78384476,42058334,112184418,49742523,274658.01,39769056,37890300,43369428,496749332.4
Tata Motors,01-04-2022,4017521604,2445903065,630775467.1,4016750.81,239916946.5,447956562.2,112494.2,235210768,104960561,17882750,78725274,60303849,10192257,43167705,68155.01,27460368,21130343,40869792,610325324.9
Tata Motors,01-05-2022,4038813889,2666108672,772722251.6,5481775.99,,404493792.1,-202385.13,149995741.2,69482045,40110400,36253447,62134783,,62460303,298364.75,16722573,2503771,70286689,299531120.6
Tata Motors,01-06-2022,4747976935,3094161849,883315821.8,6455362.16,356217615.5,255837489.1,-32261.71,192624816,206747587,8849851,60779108,66009351,85871668,92526139,77719.52,17781862,31020227,87753580,471078623
Tata Motors,01-07-2022,2814738260,1561870407,372377620.1,5141112.02,364561013.6,,21114.72,220122558.2,34467089,7967801,1423286,3695961,108880612,78911293,78960.8,183062,27657342,36396424,745021673.6
Tata Motors,01-08-2022,3059709045,1879820301,507972093.1,4307812.15,,445146445.9,35575,167979162.9,112832456,3699391,32122302,59261508,,52496015,221459.28,10292658,144356,,359299312.7
Tata Motors,01-09-2022,2738817679,1175912050,408526392.9,5392198.48,266616169.6,184377718.3,-85480.5,288594809,133790324,288790,5084921,27810313,50018037,43351876,53364.53,16612451,26807073,46787763,805026322
Tata Motors,01-10-2022,5006742283,2927719333,973256429.1,1962421.15,723099553.9,684521271,-136519.97,276441630.4,99045501,11726298,84607827,55723671,224061323,56564401,254669.79,46673570,11438459,15033888,937182855.1
Tata Motors,01-11-2022,5187088818,2379511329,554687204.6,4750495.99,311628885.3,268806263.7,-36423.82,563222571.1,189064858,38134513,103312086,37317456,131952729,27812615,94539.42,44653148,4833177,99952217,1604695467
Tata Motors,01-12-2022,3586253592,2378552585,622240476.3,1768778.11,467461316.9,280457429.5,-18711.64,146365132.7,38502863,25856919,57658082,55395426,161566703,11552291,134669.66,70640,10389599,62976036,585753501.1
Tata Motors,01-01-2023,3913969366,2158850439,714869857,3509630.08,320964901.7,546203516.6,179141.62,260062267.5,100135453,28391011,46547339,14573458,123637835,47911176,52300.01,29264326,15787803,,800106314.6
Tata Motors,01-02-2023,2294861155,1144216311,383819763.5,3837763.56,287402565.9,296399457.6,114662.5,191706270,58889531,17564710,38887092,43144233,23614649,17310852,406500.41,11426978,21009622,30773482,561665778.9
Tata Motors,01-03-2023,2599112591,1371882952,317761376,3797156.99,233049846.8,361769678.1,-81966.93,227367065.8,118783126,13846020,28830884,9726290,80768647,23020885,217122.48,1286643,9922192,41869822,638828144.4
Tata Motors,01-04-2023,4294271922,2437090676,611599658.5,1505585.22,603926814.8,262464818.7,118729.42,311395396.8,58757547,38538877,73851335,44196734,103982440,109356966,269995.02,39360898,22521804,80558427,988295359.5
Tata Motors,01-05-2023,2922643329,1872341105,578069819.5,3478320.38,308632608.1,240441888.4,-39906.65,118058101,81413648,18312053,11889876,36892874,48518372,12842659,402701.48,423570,2373139,55553464,364594078.1
Tata Motors,01-06-2023,4880267503,2514609315,847751612.3,3562040.96,690681977.2,711885795.5,-63503.41,379476643.9,114360122,16736613,77982667,55860631,,117601287,344246,2667867,26729123,56987271,868157084.7
Tata Motors,01-07-2023,4103069787,2301120156,537308319.7,4060444.96,539059265.1,486103468,-151810.5,316160327.8,202594245,35154828,20088365,58842658,43109628,13021573,235786.87,29933823,13046468,,862905487.4
Tata Motors,01-08-2023,2075737360,1314524378,307285948.6,4987017.56,308306374.6,,-122530.9,113481758.5,46058427,10155224,5001045,4463418,28267184,43824588,207781.08,4345760,3251298,38019582,332271629.5
Tata Motors,01-09-2023,4460246706,2755702113,783701564.3,2877284.01,391543002.1,330542118.2,-8981.08,230210757.1,119959083,17864557,6195200,71086130,106222252,53363404,195835.83,17620739,42489277,13832640,759650927.2
Tata Motors,01-10-2023,4882592534,2650579851,894184076.4,5245214.1,394404712,642737516.3,-33345.21,334457151.5,179709744,44166109,7102173,45388538,122332984,117922192,42145,38720111,48515838,61356950,1028447169
Tata Motors,01-11-2023,2646353027,1836936361,425556814.9,3221126.97,300796214.2,279141447.9,174008.3,95964962.82,59307275,19350835,2453752,10320855,18130254,71766557,35852.65,21041910,707689,12836402,273935805.5
Tata Motors,01-12-2023,2839423639,1174835325,460215397.4,3254904.55,240616566.3,201352273.1,-189940.57,301093229.2,102052646,24784623,25827438,16663288,97148566,13081782,47668.76,14882910,8001482,43669391,913996080.5
Reliance Industries,01-01-2021,4047947206,2800908678,648454990.9,1349573.47,293010280.4,535053871.6,-60936.27,149645884.2,180420801,16618153,2382357,75012933,,99981544,90296.15,13781337,15428653,16099248,243332104.7
Reliance Industries,01-02-2021,4873209529,2697307362,563819466.8,1450752.14,427519832.5,,-27415.8,403020675.1,143294406,15152994,75191987,93842126,157155630,42758171,7151.41,40968150,67661,7585153,1256726382
Reliance Industries,01-03-2021,4407197579,1803168071,822918534.3,1589445.39,376439313.9,395397827,-4644.27,445277743.4,126721023,13014646,9810404,86205129,6292518,41142200,65661.92,35747046,17547389,62132760,1304814096
Reliance Industries,01-04-2021,4123883682,2372304690,716245386.5,1704630.93,436200607.1,448074574.9,-13193.59,258833401.5,49650719,11082322,16203305,10848680,107145828,83031557,40458.51,38750899,22730009,59292991,839723010.6
Reliance Industries,01-05-2021,2721542250,1272592719,371587627.2,311562.57,268836610.8,367630694.7,169235.66,269340476.1,43730299,5056861,6436446,37703319,93481782,76165878,42152.68,20446082,4612338,11242014,894096645.2
Reliance Industries,01-06-2021,2151035694,1026841734,251862099.5,1100634.29,251379328,307463877.3,29366.51,218082965.3,37774238,5584263,33799193,16612651,75495044,63862169,67723.58,14460021,64323,15296274,680367422.9
Reliance Industries,01-07-2021,2972251013,1640180805,574243158.7,1390611.48,243915458.7,,-115260.01,189456762.6,139160339,2863793,4909047,40435721,3757974,75900553,89000.5,23988395,27564929,,471358389.7
